location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
12157747,Season Square,,"3 Rue Louise Weiss, 75013 Paris France",€€ - €€€,4.5,56,"{'1': '0', '2': '0', '3': '2', '4': '17', '5': '37'}","Française, Américaine, Asiatique"
8411078,Ravioli Nord Est,,"115 rue Saint Denis, 75001 Paris France",€,4.0,118,"{'1': '5', '2': '5', '3': '13', '4': '46', '5': '49'}","Chinoise, Asiatique"
4397852,O Churrasco,,"297 rue de Charenton, 75012 Paris France",€€ - €€€,4.0,90,"{'1': '9', '2': '6', '3': '3', '4': '26', '5': '46'}","Européenne, Portugaise"
720142,Vin et Marée Suffren Ecole Militaire,,"71, Avenue de Suffren, 75007 Paris France",€€ - €€€,4.0,614,"{'1': '28', '2': '40', '3': '46', '4': '195', '5': '305'}","Française, Fruits de mer et poisson, Européenne"
16831525,Les Pères Siffleurs,,"15 rue Gerbert, 75015 Paris France",€€ - €€€,4.5,110,"{'1': '3', '2': '2', '3': '5', '4': '19', '5': '81'}",Française
2197027,Le Florentin,,"10 rue Saint Florentin, 75001 Paris France",€€ - €€€,4.0,283,"{'1': '24', '2': '21', '3': '28', '4': '88', '5': '122'}","Française, Bar, Européenne"
11857149,Sourire Le Restaurant,"Cuisine gastronomique dans un cadre cosy et chaleureux composé de grande table en marbre et de fauteuils en velours bleu. Le chef Justin Brohm propose une cuisine d'auteur et travaille des produits saisonniers de qualité avec des accords originaux, twiste certains classiques, embellit des produits moins nobles ou joue sur des unions étonnants. Le menu change tout les mois en fonction des saisons et des produits proposés par les producteurs, s'adaptant ainsi à ce qu'offre la nature. Les vins sont choisis par le sommelier auprès de vignerons dûment sélectionnés.","15 rue de la Santé, 75013 Paris France",€€€€,4.5,426,"{'1': '6', '2': '5', '3': '12', '4': '65', '5': '338'}","Française, Européenne, Moderne, Saine"
27369997,Café Litteratum,,"22 Rue Des Écoles, 75005 Paris France",,,0,,
17640104,Le Raj's Palace restaurant indien,,"125 rue Lamarck, 75018 Paris France",€€ - €€€,4.5,38,"{'1': '1', '2': '1', '3': '1', '4': '6', '5': '29'}","Indienne, Saine"
1946587,COME PRIMA by OSKIAN,"Come Prima by Oskian vous accueille dans ses 3 salles à thème pour des déjeuners ou diners entre amis, collègues ou famille... avec possibilité de privatiser une salle. Avec ses 50 ans de renommé de meilleures pizzas de Paris et de savoir faire, nous vous attendons dans notre nouveau décor tendance. Vous y découvrirez également notre cuisine traditionnelle italienne. Proche du musée du Louvre, du musée de la Bourse de Commerce et de la Samaritaine.","139 Rue St Honoré, 75001 Paris France",€€ - €€€,4.0,298,"{'1': '21', '2': '15', '3': '32', '4': '97', '5': '133'}","Italienne, Pizza, Européenne"
1522927,Carmine Cafe,"Brasserie chic et tendance installée à côté du Grand Palais Ephémère et de l'école militaire dans le 7ème arrondissement. Dotée d’une belle terrasse ensoleillée qui se transforme en terrasse couverte et chauffée aux premiers frimas, vous y serez confortablement installés. Le Carmine café vous accueille du petit-déjeuner dès 7h du matin jusqu’au bout de la nuit ! L'après-midi venez découvrir notre incontournable Brunch Tea-Time autour d'une jolie sélection de desserts et crêpes sucrées!","73 avenue de Suffren, 75007 Paris France",€€ - €€€,4.0,719,"{'1': '38', '2': '44', '3': '81', '4': '258', '5': '299'}","Pizza, Française, Européenne"
27212846,Idéal Bar,,"99 Avenue De Saint-ouen, 75017 Paris France",,,0,,
7340692,Le Petit Claude,,"47 Avenue de la Motte Picquet, 75015 Paris France",€€ - €€€,3.0,231,"{'1': '35', '2': '36', '3': '49', '4': '64', '5': '47'}",Française
27835871,Le Regent,,"26 Rue Cadet, 75009 Paris France",,,0,,
28531166,Pizza Rue Thibaud,,"Rue Thibaud, 75014 Paris France",,5.0,1,"{'1': '0', '2': '0', '3': '0', '4': '0', '5': '1'}",Italienne
7283262,O Fil  Rouge,OPEN TUESDAY TO SATURDAY 12:00 AM TO 14:30 19:30 PM TO 22:30,"69 rue St Charles, 75015 Paris France",€€ - €€€,4.5,236,"{'1': '7', '2': '10', '3': '11', '4': '73', '5': '135'}","Française, Européenne"
32849296,Krispy Kreme - Rambuteau,,"15 Rue Rambuteau, 75003 Paris France",,,0,,
27289907,Le Marché Saint Michel,,"135 Boulevard Saint-michel, 75005 Paris France",,,0,,
